icd103,chapter,l1,l2
D31,II Neoplasms,Benign neoplasms,Benign neoplasm of eye and adnexa
D32,II Neoplasms,Benign neoplasms,Benign neoplasm of meninges
D33,II Neoplasms,Benign neoplasms,Benign neoplasm of brain and other parts of central nervous system
D34,II Neoplasms,Benign neoplasms,Benign neoplasm of thyroid gland
D35,II Neoplasms,Benign neoplasms,Benign neoplasm of other and unspecified endocrine glands
D36,II Neoplasms,Benign neoplasms,Benign neoplasm of other and unspecified sites
D37,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
D38,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
D39,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Neoplasm of uncertain or unknown behaviour of female genital organs
D40,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Neoplasm of uncertain or unknown behaviour of male genital organs
D41,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Neoplasm of uncertain or unknown behaviour of urinary organs
D42,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Neoplasm of uncertain or unknown behaviour of meninges
D43,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Neoplasm of uncertain or unknown behaviour of brain and central nervous system
D44,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Neoplasm of uncertain or unknown behaviour of endocrine glands
D45,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Polycythaemia vera
D46,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Myelodysplastic syndromes
D47,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Other neoplasms of uncertain or unknown behaviour of lymphoid; haematopoietic and related tissue
D48,II Neoplasms,Neoplasms of uncertain or unknown behaviour,Neoplasm of uncertain or unknown behaviour of other and unspecified sites
D50,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anaemias,Iron deficiency anaemia
D51,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anaemias,Vitamin B12 deficiency anaemia
D52,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anaemias,Folate deficiency anaemia
D53,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anaemias,Other nutritional anaemias
D55,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias,Anaemia due to enzyme disorders
D56,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias,Thalassaemia
D57,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias,Sickle-cell disorders
D58,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias,Other hereditary haemolytic anaemias
D59,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias,Acquired haemolytic anaemia
D60,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,Acquired pure red cell aplasia [erythroblastopenia]
D61,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,Other aplastic anaemias
D62,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,Acute posthaemorrhagic anaemia
D63,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,Anaemia in chronic diseases classified elsewhere
D64,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias,Other anaemias
D65,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Coagulation defects; purpura and other haemorrhagic conditions,Disseminated intravascular coagulation [defibrination syndrome]
D66,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Coagulation defects; purpura and other haemorrhagic conditions,Hereditary factor VIII deficiency
D67,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Coagulation defects; purpura and other haemorrhagic conditions,Hereditary factor IX deficiency
D68,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Coagulation defects; purpura and other haemorrhagic conditions,Other coagulation defects
D69,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Coagulation defects; purpura and other haemorrhagic conditions,Purpura and other haemorrhagic conditions
D70,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,Agranulocytosis
D71,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,Functional disorders of polymorphonuclear neutrophils
D72,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,Other disorders of white blood cells
D73,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,Diseases of spleen
D74,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,Methaemoglobinaemia
D75,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,Other diseases of blood and blood-forming organs
D76,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
D77,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,TBC
D80,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,Immunodeficiency with predominantly antibody defects
D81,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,Combined immunodeficiencies
D82,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,Immunodeficiency associated with other major defects
D83,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,Common variable immunodeficiency
D84,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,Other immunodeficiencies
D85,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,TBC
D86,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,Sarcoidosis
D87,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,TBC
D88,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,TBC
D89,III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Certain disorders involving the immune mechanism,Other disorders involving the immune mechanism; not elsewhere classified
E00,IV Endocrine; nutritional and metabolic diseases,Disorders of thyroid gland,Congenital iodine-deficiency syndrome
E01,IV Endocrine; nutritional and metabolic diseases,Disorders of thyroid gland,Iodine-deficiency-related thyroid disorders and allied conditions
E02,IV Endocrine; nutritional and metabolic diseases,Disorders of thyroid gland,Subclinical iodine-deficiency hypothyroidism
E03,IV Endocrine; nutritional and metabolic diseases,Disorders of thyroid gland,Other hypothyroidism
E04,IV Endocrine; nutritional and metabolic diseases,Disorders of thyroid gland,Other nontoxic goitre
E05,IV Endocrine; nutritional and metabolic diseases,Disorders of thyroid gland,Thyrotoxicosis [hyperthyroidism]
E06,IV Endocrine; nutritional and metabolic diseases,Disorders of thyroid gland,Thyroiditis
E07,IV Endocrine; nutritional and metabolic diseases,Disorders of thyroid gland,Other disorders of thyroid
E10,IV Endocrine; nutritional and metabolic diseases,Diabetes mellitus,Insulin-dependent diabetes mellitus
E11,IV Endocrine; nutritional and metabolic diseases,Diabetes mellitus,Non-insulin-dependent diabetes mellitus
E12,IV Endocrine; nutritional and metabolic diseases,Diabetes mellitus,Malnutrition-related diabetes mellitus
E13,IV Endocrine; nutritional and metabolic diseases,Diabetes mellitus,Other specified diabetes mellitus
E14,IV Endocrine; nutritional and metabolic diseases,Diabetes mellitus,Unspecified diabetes mellitus
E15,IV Endocrine; nutritional and metabolic diseases,Other disorders of glucose regulation and pancreatic internal secretion,Nondiabetic hypoglycaemic coma
E16,IV Endocrine; nutritional and metabolic diseases,Other disorders of glucose regulation and pancreatic internal secretion,Other disorders of pancreatic internal secretion
E20,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Hypoparathyroidism
E21,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Hyperparathyroidism and other disorders of parathyroid gland
E22,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Hyperfunction of pituitary gland
E23,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Hypofunction and other disorders of pituitary gland
E24,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Cushing's syndrome
E25,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Adrenogenital disorders
E26,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Hyperaldosteronism
E27,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Other disorders of adrenal gland
E28,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Ovarian dysfunction
E29,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Testicular dysfunction
E30,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Disorders of puberty; not elsewhere classified
E31,IV Endocrine; nutritional and metabolic diseases,Disorders of other endocrine glands,Polyglandular dysfunction
